,parser,expr_len,time
0,ast_iter,1,1.4800048999995852e-08
1,ast_iter,2,2.1760882800026593e-08
2,ast_iter,3,3.0428748300028016e-08
3,ast_iter,4,3.774083299999802e-08
4,ast_iter,5,4.663080229997831e-08
5,ast_iter,6,5.370840760001556e-08
6,ast_iter,7,6.39198352999756e-08
7,ast_iter,8,9.167794710001544e-08
8,ast_iter,9,8.855507729999772e-08
9,ast_iter,10,9.41581097999915e-08
10,ast_iter,11,1.0155193219998182e-07
11,ast_iter,12,1.1182289409998702e-07
12,ast_iter,13,1.2088937889998305e-07
13,ast_iter,14,1.2647691170000144e-07
14,ast_iter,15,1.403199678999954e-07
15,ast_iter,16,1.4705233209997458e-07
16,ast_iter,17,1.6024930109997511e-07
17,ast_iter,18,1.6529100139996446e-07
18,ast_iter,19,1.7424142319996463e-07
19,ast_iter,20,1.7685117510000055e-07
20,ast_iter,21,1.9861300139996275e-07
21,ast_iter,22,2.1533157530002426e-07
22,ast_iter,23,2.0211589420000565e-07
23,ast_iter,24,2.1237315120001768e-07
0,ast_rec,1,3.275159610002447e-08
1,ast_rec,2,4.609668890002467e-08
2,ast_rec,3,4.781773879999491e-08
3,ast_rec,4,5.5443672999990664e-08
4,ast_rec,5,6.375265279998529e-08
5,ast_rec,6,7.432252089997746e-08
6,ast_rec,7,7.69826125000236e-08
7,ast_rec,8,1.1376443540002583e-07
8,ast_rec,9,1.1276462659998288e-07
9,ast_rec,10,1.145550689999709e-07
10,ast_rec,11,1.194517549000011e-07
11,ast_rec,12,1.3074984680001762e-07
12,ast_rec,13,1.4193279290002464e-07
13,ast_rec,14,1.4211554890002844e-07
14,ast_rec,15,1.5216178249997937e-07
15,ast_rec,16,1.5847381349999524e-07
16,ast_rec,17,1.702732570999615e-07
17,ast_rec,18,1.7655687809997288e-07
18,ast_rec,19,1.8336461700000655e-07
19,ast_rec,20,1.860625108000022e-07
20,ast_rec,21,1.9887259090000952e-07
21,ast_rec,22,2.039889495999887e-07
22,ast_rec,23,2.058571233999828e-07
23,ast_rec,24,2.1856227279999986e-07
0,dl,1,1.3677069599998504e-08
1,dl,2,1.3848851700004162e-08
2,dl,3,1.3785512699996616e-08
3,dl,4,1.3692453799967552e-08
4,dl,5,1.5450345699991886e-08
5,dl,6,1.4382027800002106e-08
6,dl,7,1.4253785199980484e-08
7,dl,8,1.4151862300013818e-08
8,dl,9,1.5313359799984027e-08
9,dl,10,1.4847492700027943e-08
10,dl,11,1.644566089998989e-08
11,dl,12,1.5933109399975366e-08
12,dl,13,1.5220602599993072e-08
13,dl,14,1.636754529999962e-08
14,dl,15,1.6892844299991337e-08
15,dl,16,1.6535845299995343e-08
16,dl,17,1.6825668799992855e-08
17,dl,18,1.7861583799958682e-08
18,dl,19,1.785837019997416e-08
19,dl,20,1.7973942899971008e-08
20,dl,21,1.82922759000121e-08
21,dl,22,2.0042743200019687e-08
22,dl,23,2.06151711000075e-08
23,dl,24,2.194483069997659e-08
0,elf,1,1.4944571299974996e-08
1,elf,2,1.3565186300002097e-08
2,elf,3,1.4463177400011773e-08
3,elf,4,1.4346733499996844e-08
4,elf,5,1.4835754000023372e-08
5,elf,6,1.4463145199988502e-08
6,elf,7,1.4608155899986741e-08
7,elf,8,1.4435049799976696e-08
8,elf,9,1.4644376799969905e-08
9,elf,10,1.4518842899997252e-08
10,elf,11,1.5056872199966164e-08
11,elf,12,1.4867338299973198e-08
12,elf,13,1.499133540000912e-08
13,elf,14,1.5517518500018923e-08
14,elf,15,1.6592664400013745e-08
15,elf,16,1.598864689999573e-08
16,elf,17,1.8579653799997688e-08
17,elf,18,1.8449101999976847e-08
18,elf,19,1.7811837699991884e-08
19,elf,20,1.7499861799979043e-08
20,elf,21,1.8306865699969422e-08
21,elf,22,1.9257031600000118e-08
22,elf,23,1.9073237100019468e-08
23,elf,24,2.457022489998053e-08
0,gccjit,1,1.4811310499999308e-08
1,gccjit,2,1.383378730001823e-08
2,gccjit,3,1.637162619999799e-08
3,gccjit,4,1.724490869996771e-08
4,gccjit,5,1.7072285600033865e-08
5,gccjit,6,1.7081407799969385e-08
6,gccjit,7,1.8180351399996652e-08
7,gccjit,8,1.8002652999985003e-08
8,gccjit,9,1.9628074700040086e-08
9,gccjit,10,1.788604920002399e-08
10,gccjit,11,1.7945440599987706e-08
11,gccjit,12,1.8465790199979894e-08
12,gccjit,13,1.9304804700004753e-08
13,gccjit,14,2.059002689998124e-08
14,gccjit,15,2.1397657999978038e-08
15,gccjit,16,2.2136489600006827e-08
16,gccjit,17,2.400883810000778e-08
17,gccjit,18,2.38813231000222e-08
18,gccjit,19,2.4019254099994215e-08
19,gccjit,20,2.500079330002336e-08
20,gccjit,21,2.6711510599989198e-08
21,gccjit,22,2.6820883700020203e-08
22,gccjit,23,3.1732777000024725e-08
23,gccjit,24,3.0599655400010305e-08
0,libjit,1,1.0569240999984687e-08
1,libjit,2,1.7740706199992928e-08
2,libjit,3,2.296325069996783e-08
3,libjit,4,2.8620454299971242e-08
4,libjit,5,3.396421140000712e-08
5,libjit,6,4.081561980001425e-08
6,libjit,7,4.649867160001122e-08
7,libjit,8,5.009894069999063e-08
8,libjit,9,5.809368749996793e-08
9,libjit,10,6.266249450000032e-08
10,libjit,11,6.86872160999883e-08
11,libjit,12,7.752129190002961e-08
12,libjit,13,8.303588329999911e-08
13,libjit,14,8.810170499996275e-08
14,libjit,15,9.171871049998116e-08
15,libjit,16,9.729698480000479e-08
16,libjit,17,1.0584105110001474e-07
17,libjit,18,1.1266219200001615e-07
18,libjit,19,1.1972274889999427e-07
19,libjit,20,1.2189049200001136e-07
20,libjit,21,1.2984589809998397e-07
21,libjit,22,1.3670880899999246e-07
22,libjit,23,1.4317388300000858e-07
23,libjit,24,1.5266458840001177e-07
0,llvm,1,1.09365047999745e-08
1,llvm,2,1.1490584100010892e-08
2,llvm,3,1.1486299899979713e-08
3,llvm,4,1.0942665599986868e-08
4,llvm,5,1.0975311500033058e-08
5,llvm,6,1.1441359999980705e-08
6,llvm,7,1.1455387900014102e-08
7,llvm,8,1.199015900001541e-08
8,llvm,9,1.25735404000352e-08
